NotaFiscal;DataNota;AnoNota;MesNota;DiaNota;Periodo;NoItem;CodigoProd;Quantidade;PrecoUnit;ValorItemVenda
1;25/6/2022;2022;06;25;202206;1;789000100200;20.00;10.30;206.00
1;25/6/2022;2022;06;25;202206;2;789000100201;30.00;9.60;288.00
1;25/6/2022;2022;06;25;202206;3;789000100202;40.00;7.80;312.00
1;25/6/2022;2022;06;25;202206;4;789000100203;35.00;10.10;353.50
1;25/6/2022;2022;06;25;202206;5;789000100204;24.00;12.40;297.60
2;25/6/2022;2022;06;25;202206;1;789000100201;15.00;9.60;144.00
2;25/6/2022;2022;06;25;202206;2;789000100203;11.00;10.10;111.10
2;25/6/2022;2022;06;25;202206;3;789000100205;13.00;13.10;170.30
2;25/6/2022;2022;06;25;202206;4;789000100207;20.00;22.80;456.00
3;26/6/2022;2022;06;26;202206;1;789000100200;15.00;10.30;154.50
3;26/6/2022;2022;06;26;202206;2;789000100202;32.00;7.80;249.60
3;26/6/2022;2022;06;26;202206;3;789000100204;20.00;12.40;248.00
3;26/6/2022;2022;06;26;202206;4;789000100207;12.00;22.80;273.60
4;26/6/2022;2022;06;26;202206;1;789000100201;11.00;9.60;105.60
4;26/6/2022;2022;06;26;202206;2;789000100203;13.00;10.10;131.30
4;26/6/2022;2022;06;26;202206;3;789000100204;18.00;12.40;223.20
4;26/6/2022;2022;06;26;202206;4;789000100205;10.00;13.10;131.00
5;27/6/2022;2022;06;27;202206;1;729000100101;4.00;103.10;412.40
5;27/6/2022;2022;06;27;202206;2;729000100102;2.00;97.60;195.20
